,Cuisine,Number
1,Indian,4259
2,Chinese,2733
3,Fast Food,1987
4,Mughlai,994
5,Italian,764
6,Bakery,744
7,Continental,736
8,Cafe,703
9,Desserts,653
10,Street Food,562
11,American,390
12,Pizza,381
13,Mithai,380
14,Burger,251
15,Beverages,249
16,Asian,234
17,Thai,234
18,Ice Cream,226
19,Mexican,181
20,Biryani,177
21,Seafood,174
22,Healthy Food,150
23,European,148
24,Japanese,135
25,Finger Food,114
26,Raw Meats,114
27,Mediterranean,112
28,Salad,93
29,Sushi,75
30,Lebanese,69
31,Steak,62
32,Sandwich,53
33,Tea,48
34,Tibetan,44
35,Breakfast,41
36,Bar Food,39
37,BBQ,33
38,Bengali,29
39,French,29
40,Juices,29
41,Brazilian,28
42,Arabian,28
43,Hyderabadi,26
44,International,25
45,Southern,24
46,Vegetarian,23
47,Kerala,23
48,Malaysian,22
49,Middle Eastern,22
50,Rajasthani,21
51,Korean,21
52,Vietnamese,21
53,Grill,21
54,Kashmiri,20
55,Goan,20
56,Tex-Mex,19
57,Tapas,19
58,British,16
59,Spanish,16
60,Turkish,15
61,Greek,15
62,Indonesian,14
63,Afghani,14
64,Lucknowi,13
65,Pakistani,12
66,Latin American,11
67,Awadhi,11
68,Modern Australian,11
69,Chettinad,11
70,Gujarati,11
71,Kebab,10
72,Burmese,10
73,Western,10
74,Cajun,10
75,German,10
76,Andhra,10
77,Filipino,10
78,Maharashtrian,10
79,Nepalese,9
80,North Eastern,9
81,Contemporary,9
82,Naga,8
83,Turkish Pizza,8
84,Parsi,8
85,Hawaiian,8
86,African,8
87,Portuguese,7
88,Southwestern,7
89,Caribbean,7
90,Bihari,6
91,South African,6
92,Curry,6
93,Diner,6
94,Kiwi,6
95,Sri Lankan,5
96,Australian,5
97,Moroccan,5
98,Patisserie,4
99,Charcoal Grill,4
100,Mangalorean,4
101,Fusion,4
102,Singaporean,4
103,Assamese,4
104,Restaurant Cafe,4
105,Deli,3
106,Scottish,3
107,Sunda,3
108,Armenian,3
109,Iranian,3
110,Dim Sum,3
111,Persian,2
112,Belgian,2
113,Oriya,2
114,Izgara,2
115,South American,2
116,Teriyaki,2
117,Cuban,2
118,Argentine,2
119,Pub Food,2
120,New American,2
121,Taiwanese,2
122,Cantonese,2
123,Fish and Chips,1
124,Canadian,1
125,Durban,1
126,Cuisine Varies,1
127,Malay,1
128,Peranakan,1
129,Irish,1
130,Bí_rek,1
131,Malwani,1
132,Dí_ner,1
133,Soul Food,1
134,Peruvian,1
135,Mineira,1
