Restaurant ID,Country Code,City,Cuisines,Price range,Aggregate rating
6317637,162,Makati City,"French, Japanese, Desserts",3,4.8
6304287,162,Makati City,Japanese,3,4.5
6300002,162,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4,4.4
6318506,162,Mandaluyong City,"Japanese, Sushi",4,4.9
6314302,162,Mandaluyong City,"Japanese, Korean",4,4.8
18189371,162,Mandaluyong City,Chinese,3,4.4
6300781,162,Pasay City,"Asian, European",4,4
6301290,162,Pasay City,"Seafood, Filipino, Asian, European",4,4.2
6300010,162,Pasay City,"European, Asian, Indian",4,4.9
6314987,162,Pasig City,Filipino,3,4.8
6309903,162,Pasig City,"Filipino, Mexican",3,4.9
6309455,162,Pasig City,"American, Ice Cream, Desserts",3,4.2
6318433,162,Quezon City,"Filipino, Mexican",3,4.8
6310470,162,San Juan City,Filipino,3,4.2
6314605,162,San Juan City,Korean,3,4.3
18185059,162,Santa Rosa,"Cafe, American, Italian, Filipino",3,3.6
18182702,162,Santa Rosa,"Italian, Pizza",3,4
6318213,162,Tagaytay City,Filipino,3,4.5
18255654,162,Taguig City,"Cafe, Korean, Desserts",2,4.5
6308205,162,Taguig City,"Cafe, Bakery, American, Italian",4,4.4
6315438,162,Taguig City,"Seafood, American, Mediterranean, Japanese",4,4.7
6310406,162,Taguig City,"American, Asian, Italian, Seafood",4,4.5
6600681,30,Brasí_lia,"Fast Food, French",2,3
6601005,30,Brasí_lia,Cafe,1,3.8
6600292,30,Brasí_lia,Bakery,2,3.7
6600441,30,Brasí_lia,Brazilian,3,3.8
6600970,30,Brasí_lia,Pizza,2,3.2
6600379,30,Brasí_lia,Japanese,3,3.1
6600214,30,Brasí_lia,Arabian,3,3.7
6601218,30,Brasí_lia,Japanese,4,3.7
6600060,30,Brasí_lia,"Brazilian, Cafe",1,0
6600083,30,Brasí_lia,Italian,4,4.1
6601515,30,Brasí_lia,Pizza,4,3.1
6601361,30,Brasí_lia,"Bar Food, Brazilian",3,3.6
6601602,30,Brasí_lia,"Mexican, Grill",4,4.3
6601589,30,Brasí_lia,International,4,4.2
6601862,30,Brasí_lia,"Peruvian, Latin American",4,3.6
6601595,30,Brasí_lia,"American, Grill",4,4
6601158,30,Brasí_lia,Seafood,4,3.2
6600427,30,Brasí_lia,International,4,4.9
6600116,30,Brasí_lia,Italian,4,3.3
6601457,30,Brasí_lia,"American, Burger",2,3.6
7303219,30,Rio de Janeiro,"Seafood, Bar Food, Brazilian",4,4
7304307,30,Rio de Janeiro,"Desserts, Cafe",4,4.8
7301215,30,Rio de Janeiro,"Juices, Healthy Food",3,4.7
7300596,30,Rio de Janeiro,"Beverages, Bar Food, Fast Food",3,4.5
7300612,30,Rio de Janeiro,Lebanese,4,4.2
7300704,30,Rio de Janeiro,Burger,3,4.8
7300955,30,Rio de Janeiro,"Brazilian, Bar Food",4,4.9
7300521,30,Rio de Janeiro,"Brazilian, Healthy Food, Juices, Pizza",3,4.6
7300515,30,Rio de Janeiro,"Brazilian, Bar Food",4,4.9
7300483,30,Rio de Janeiro,Brazilian,4,4.6
7301064,30,Rio de Janeiro,Brazilian,3,4.3
7304312,30,Rio de Janeiro,Italian,4,4
7300004,30,Rio de Janeiro,Japanese,4,4.6
7300868,30,Rio de Janeiro,"Bakery, Sandwich, Brazilian",4,4.4
7302637,30,Rio de Janeiro,Brazilian,2,4.2
7302140,30,Rio de Janeiro,"Brazilian, Seafood",4,4.2
7305048,30,Rio de Janeiro,"Bar Food, Brazilian",3,0
7302898,30,Rio de Janeiro,Brazilian,4,4.7
7302859,30,Rio de Janeiro,"Brazilian, Bar Food",3,4.6
7301700,30,Rio de Janeiro,"Brazilian, Bar Food",3,4.3
6706313,30,Sí£o Paulo,"Italian, Pizza",4,4.5
6704326,30,Sí£o Paulo,"Steak, BBQ",4,4.4
6711179,30,Sí£o Paulo,Indian,3,3.1
6702797,30,Sí£o Paulo,Brazilian,4,4.1
6700475,30,Sí£o Paulo,"Beverages, International",4,4.8
6713413,30,Sí£o Paulo,"French, Brazilian, Beverages",4,4.6
6714340,30,Sí£o Paulo,"Brazilian, Grill",3,3.9
6710645,30,Sí£o Paulo,Brazilian,2,0
6700402,30,Sí£o Paulo,French,4,3.4
6700846,30,Sí£o Paulo,"Sushi, Japanese",4,3.5
6702159,30,Sí£o Paulo,"BBQ, Grill, Brazilian",4,4.3
6711666,30,Sí£o Paulo,Sushi,4,3.9
6701257,30,Sí£o Paulo,"Gourmet Fast Food, Burger",4,4.3
6706211,30,Sí£o Paulo,"Brazilian, Italian",4,4.3
6705858,30,Sí£o Paulo,Italian,4,4.4
6701419,30,Sí£o Paulo,"Brazilian, Mineira",3,0
6703956,30,Sí£o Paulo,Brazilian,2,0
6709580,30,Sí£o Paulo,"Brazilian, North Eastern",4,4.4
6703176,30,Sí£o Paulo,"Brazilian, Bar Food, Beverages",3,4.6
6713772,30,Sí£o Paulo,"Lebanese, Arabian",4,4.1
17284404,216,Albany,"BBQ, Burger, Seafood",2,3.3
17284203,216,Albany,"American, BBQ",1,3.3
17284302,216,Albany,Mexican,1,3.4
17284397,216,Albany,"Coffee and Tea, Sandwich",1,3.4
17284094,216,Albany,Fast Food,1,3.5
17284409,216,Albany,"Asian, Chinese, Vegetarian",1,3.9
17284139,216,Albany,"Pizza, Bar Food, Sandwich",2,3.7
17284403,216,Albany,"Steak, Tapas, Bar Food",4,3.5
17284145,216,Albany,"Chinese, Seafood, Vegetarian",2,3.6
17284150,216,Albany,Chinese,1,3.8
17284175,216,Albany,"American, Burger, Sandwich",2,3.5
17284179,216,Albany,"American, Steak",2,3.5
17284197,216,Albany,"Japanese, Steak, Sushi",3,3.6
17284241,216,Albany,"Japanese, Steak, Sushi",3,3.5
17284390,216,Albany,"Seafood, Tapas, Bar Food",3,3.8
17284279,216,Albany,"Italian, Pizza",1,3.7
17284364,216,Albany,"American, Breakfast, Diner",1,3.4
16611114,14,Armidale,"Bar Food, Steak",2,3.5
17293281,216,Athens,"American, Southern, Southwestern",3,4.5
17293301,216,Athens,Southern,1,4.5
17293409,216,Athens,Mexican,1,4.6
17293163,216,Athens,"Japanese, Korean",1,3.9
17293228,216,Athens,"Breakfast, Burger, Sandwich",1,3.7
17293880,216,Athens,"Breakfast, Sandwich",1,4.3
17293169,216,Athens,"American, Burger, Sandwich",1,4.2
17293186,216,Athens,"American, Italian, Pizza",2,4
17293180,216,Athens,"American, Italian, Pizza",2,4.1
17293205,216,Athens,American,3,4.3
17293229,216,Athens,"International, Southern, Vegetarian",1,4.2
17293897,216,Athens,Sandwich,1,4.1
17293273,216,Athens,Italian,3,4.1
17293870,216,Athens,"Asian, Japanese, Sushi",2,4.2
17293877,216,Athens,"Mexican, Spanish",1,4.1
17293890,216,Athens,"International, Southern",3,4.1
17293915,216,Athens,Bar Food,1,4.4
17293422,216,Athens,"Italian, Pizza, Sandwich",1,4.4
17293873,216,Athens,"Burger, Bar Food",2,4.2
17294014,216,Athens,"Desserts, Latin American, Argentine",1,4.1
17294556,216,Augusta,"Chinese, Steak",3,4.6
17294607,216,Augusta,"American, Caribbean, Seafood",3,4.9
17294279,216,Augusta,"International, Tapas, Vegetarian",2,4.5
17294300,216,Augusta,"Desserts, Sandwich, Southern",1,3.9
17295215,216,Augusta,"American, Burger",2,3.9
17295028,216,Augusta,"Breakfast, French",3,3.8
17294642,216,Augusta,BBQ,2,3.5
17295109,216,Augusta,American,3,4.3
17294441,216,Augusta,"Desserts, Italian, Pizza",2,4.1
17294552,216,Augusta,"Italian, Pizza, Sandwich",2,4.4
17294565,216,Augusta,Mexican,1,4
17294623,216,Augusta,"Bar Food, Sandwich, Seafood",2,4
17294712,216,Augusta,"Mexican, Southwestern, Sushi",3,4.2
17295033,216,Augusta,Steak,3,4
17295069,216,Augusta,Indian,2,4
17294261,216,Augusta,German,2,3.9
17295115,216,Augusta,Vietnamese,1,4.1
17294836,216,Augusta,"Burger, Seafood",2,4
17294850,216,Augusta,Thai,3,4.3
17294883,216,Augusta,Mexican,1,4.2
16608864,14,Balingup,Modern Australian,2,3.2
16604911,14,Beechworth,"Pizza, Bar Food",2,4.6
17303465,216,Boise,"American, Bar Food",2,4.5
17303642,216,Boise,"Italian, Pizza",2,4.6
17303670,216,Boise,"Breakfast, Sandwich",2,4.5
17303545,216,Boise,"American, Seafood, Steak",4,3.9
17303655,216,Boise,"European, Spanish",1,4.3
17304691,216,Boise,"Latin American, Steak",4,4.1
17303478,216,Boise,"American, Burger, Sandwich",1,4.2
17303480,216,Boise,"American, Bar Food",2,4.3
17304733,216,Boise,"American, Burger",1,4.4
17303646,216,Boise,Pizza,2,4.1
17304929,216,Boise,"American, Burger",2,4.4
17303684,216,Boise,Pizza,1,4.3
17303772,216,Boise,Mexican,1,4.4
17305123,216,Boise,"Italian, Seafood, Vegetarian",2,4.4
17303787,216,Boise,"Sushi, Thai",3,4
17303990,216,Boise,"Japanese, Sushi, Teriyaki",2,4.1
17304741,216,Boise,Breakfast,1,4.3
17304726,216,Boise,Brazilian,3,4
17304486,216,Boise,"American, BBQ, Steak",2,4
17304533,216,Boise,American,3,4.4
17316233,216,Cedar Rapids/Iowa City,"American, Mediterranean, Seafood",3,3.7
